INSERT INTO Client (email,username,name,gender,sexual_orientation, bio, description, likes, state, age, birthday) VALUES ('karaAcevedo@gmail.com', 'Kara Acevedo', 'karaAcevedo', 'F', 'W', 'This is the bio', 'This is the description', 'Running, Reading, Hiking, Watching series, Acrobatics', 'Reported', 'karaAcevedoprofilePic', 30, '1963-3-19'),
('bufordCamp@gmail.com', 'Buford Camp', 'bufordCamp', 'M', 'M', 'This is the bio', 'This is the description', 'Photography, Yoga, Dancing, Listening to music, Baseball', 'Pending', 'bufordCampprofilePic', 37, '1955-9-24'),
('latoriaColon@gmail.com', 'Latoria Colon', 'latoriaColon', 'F', 'B', 'This is the bio', 'This is the description', 'Acrobatics, Knitting, Running, Parkour, Dancing', 'Reported', 'latoriaColonprofilePic', 20, '1973-10-11'),
('penelopeFlanagan@gmail.com', 'Penelope Flanagan', 'penelopeFlanagan', 'Other', 'M', 'This is the bio', 'This is the description', 'Listening to music, Listening to podcasts, Baseball, Bowling, Chess', 'Pending', 'penelopeFlanaganprofilePic', 25, '1979-3-25'),
('houstonGriffith@gmail.com', 'Houston Griffith', 'houstonGriffith', 'M', 'M', 'This is the bio', 'This is the description', 'Photography, Blogging, Parkour, Running, Listening to music', 'Reported', 'houstonGriffithprofilePic', 22, '1989-9-15'),
('gerardDunn@gmail.com', 'Gerard Dunn', 'gerardDunn', 'Other', 'W', 'This is the bio', 'This is the description', 'Bowling, Watching movies, Journaling, Fishing, Listening to music', 'Reported', 'gerardDunnprofilePic', 26, '1967-8-21'),
('minervaDunn@gmail.com', 'Minerva Dunn', 'minervaDunn', 'Other', 'M', 'This is the bio', 'This is the description', 'Photography, Knitting, Baseball, Watching series, Hiking', 'Reported', 'minervaDunnprofilePic', 28, '1997-10-26'),
('coryPreston@gmail.com', 'Cory Preston', 'coryPreston', 'M', 'B', 'This is the bio', 'This is the description', 'Photography, Car fixing, Yoga, Cycling, Acrobatics', 'Pending', 'coryPrestonprofilePic', 20, '1968-6-3'),
('griseldaClayton@gmail.com', 'Griselda Clayton', 'griseldaClayton', 'F', 'W', 'This is the bio', 'This is the description', 'Parkour, Hiking, Listening to music, Watching series, Reading', 'Reported', 'griseldaClaytonprofilePic', 32, '1987-11-1'),
('herbertHampton@gmail.com', 'Herbert Hampton', 'herbertHampton', 'Other', 'B', 'This is the bio', 'This is the description', 'Watching series, Car fixing, Parkour, Listening to podcasts, Chess', 'Accepted', 'herbertHamptonprofilePic', 31, '1996-1-20'),
('sharenVaughn@gmail.com', 'Sharen Vaughn', 'sharenVaughn', 'F', 'M', 'This is the bio', 'This is the description', 'Paintball, Knitting, Parkour, Dancing, Watching series', 'Accepted', 'sharenVaughnprofilePic', 38, '1976-3-2'),
('shadCortez@gmail.com', 'Shad Cortez', 'shadCortez', 'M', 'M', 'This is the bio', 'This is the description', 'Acrobatics, Watching movies, Paintball, Car fixing, Chess', 'Pending', 'shadCortezprofilePic', 22, '1986-10-13'),
('dagmarMathews@gmail.com', 'Dagmar Mathews', 'dagmarMathews', 'Other', 'M', 'This is the bio', 'This is the description', 'Running, Dancing, Fishing, Acrobatics, Chess', 'Pending', 'dagmarMathewsprofilePic', 21, '2003-11-4'),
('fionaTaylor@gmail.com', 'Fiona Taylor', 'fionaTaylor', 'F', 'W', 'This is the bio', 'This is the description', 'Photography, Knitting, Car fixing, Baseball, Parkour', 'Pending', 'fionaTaylorprofilePic', 27, '1974-7-26'),
('alexChilders@gmail.com', 'Alex Childers', 'alexChilders', 'Other', 'W', 'This is the bio', 'This is the description', 'Yoga, Cycling, Chess, Hiking, Journaling', 'Pending', 'alexChildersprofilePic', 23, '1960-5-2'),
('heathAlvarado@gmail.com', 'Heath Alvarado', 'heathAlvarado', 'Other', 'M', 'This is the bio', 'This is the description', 'Listening to podcasts, Reading, Baseball, Running, Fishing', 'Pending', 'heathAlvaradoprofilePic', 18, '1999-8-9'),
('isrealLevine@gmail.com', 'Isreal Levine', 'isrealLevine', 'Other', 'M', 'This is the bio', 'This is the description', 'Blogging, Baseball, Paintball, Listening to music, Parkour', 'Reported', 'isrealLevineprofilePic', 34, '1979-7-27'),
('ranaeVasquez@gmail.com', 'Ranae Vasquez', 'ranaeVasquez', 'Other', 'W', 'This is the bio', 'This is the description', 'Fishing, Reading, Watching series, Acrobatics, Listening to music', 'Accepted', 'ranaeVasquezprofilePic', 28, '1957-1-9'),
('jenelleStokes@gmail.com', 'Jenelle Stokes', 'jenelleStokes', 'F', 'B', 'This is the bio', 'This is the description', 'Listening to podcasts, Dancing, Fishing, Journaling, Baseball', 'Pending', 'jenelleStokesprofilePic', 22, '2003-8-10'),
('fredricStevens@gmail.com', 'Fredric Stevens', 'fredricStevens', 'Other', 'W', 'This is the bio', 'This is the description', 'Bowling, Car fixing, Running, Paintball, Watching series', 'Accepted', 'fredricStevensprofilePic', 22, '1966-1-24'),
('marcelinoGonzales@gmail.com', 'Marcelino Gonzales', 'marcelinoGonzales', 'Other', 'M', 'This is the bio', 'This is the description', 'Blogging, Reading, Hiking, Paintball, Parkour', 'Reported', 'marcelinoGonzalesprofilePic', 39, '1988-5-20'),
('nedraKelley@gmail.com', 'Nedra Kelley', 'nedraKelley', 'Other', 'W', 'This is the bio', 'This is the description', 'Baseball, Hiking, Bowling, Watching movies, Chess', 'Pending', 'nedraKelleyprofilePic', 18, '1976-12-15'),
('ednaSherman@gmail.com', 'Edna Sherman', 'ednaSherman', 'F', 'W', 'This is the bio', 'This is the description', 'Watching movies, Knitting, Yoga, Blogging, Reading', 'Accepted', 'ednaShermanprofilePic', 32, '1970-6-2'),
('adinaJordan@gmail.com', 'Adina Jordan', 'adinaJordan', 'F', 'B', 'This is the bio', 'This is the description', 'Listening to podcasts, Chess, Dancing, Journaling, Watching movies', 'Accepted', 'adinaJordanprofilePic', 37, '1956-4-6'),
('tristanPowell@gmail.com', 'Tristan Powell', 'tristanPowell', 'M', 'B', 'This is the bio', 'This is the description', 'Watching series, Acrobatics, Reading, Listening to podcasts, Dancing', 'Pending', 'tristanPowellprofilePic', 33, '2000-1-25'),
('israelVinson@gmail.com', 'Israel Vinson', 'israelVinson', 'M', 'B', 'This is the bio', 'This is the description', 'Chess, Baseball, Journaling, Paintball, Dancing', 'Pending', 'israelVinsonprofilePic', 39, '1989-10-23'),
('christiOneal@gmail.com', 'Christi Oneal', 'christiOneal', 'Other', 'W', 'This is the bio', 'This is the description', 'Photography, Listening to podcasts, Running, Acrobatics, Bowling', 'Accepted', 'christiOnealprofilePic', 37, '1955-5-23'),
('corinaKemp@gmail.com', 'Corina Kemp', 'corinaKemp', 'F', 'W', 'This is the bio', 'This is the description', 'Hiking, Photography, Cycling, Blogging, Paintball', 'Pending', 'corinaKempprofilePic', 26, '1990-1-18'),
('ernestinaGraham@gmail.com', 'Ernestina Graham', 'ernestinaGraham', 'Other', 'B', 'This is the bio', 'This is the description', 'Journaling, Yoga, Running, Parkour, Paintball', 'Reported', 'ernestinaGrahamprofilePic', 36, '2000-1-18'),
('fletcherGlover@gmail.com', 'Fletcher Glover', 'fletcherGlover', 'M', 'B', 'This is the bio', 'This is the description', 'Bowling, Car fixing, Paintball, Cycling, Running', 'Pending', 'fletcherGloverprofilePic', 21, '1998-11-12'),
('amadoLott@gmail.com', 'Amado Lott', 'amadoLott', 'M', 'B', 'This is the bio', 'This is the description', 'Blogging, Paintball, Hiking, Baseball, Photography', 'Reported', 'amadoLottprofilePic', 20, '1995-12-15'),
('kellyeRosa@gmail.com', 'Kellye Rosa', 'kellyeRosa', 'Other', 'W', 'This is the bio', 'This is the description', 'Running, Fishing, Blogging, Bowling, Listening to music', 'Reported', 'kellyeRosaprofilePic', 30, '1967-7-10'),
